"name","effectName","functionName","shortName","interaction1","interaction2","type","basicRate","include","randomEffects","fix","test","timeDummy","initialValue","parm","functionType","period","rateType","untrimmedValue","effect1","effect2","effect3","interactionType","local","setting","netType","groupName","group","effectNumber",".spec_key",".spec_role"
"dv.net","basic rate parameter dv.net","Amount of network change","Rate","","","rate",TRUE,TRUE,FALSE,TRUE,FALSE,",",0.427757639962562,0,"rate","1",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,1,"dv.net|rate|Rate|||0|1|1","original_control_or_spending"
"dv.net","degree (density)","Number of edges","density","","","eval",FALSE,TRUE,TRUE,TRUE,FALSE,",",-5.99950973731691,0,"objective",NA,NA,0,0,0,0,"ego",FALSE,"","oneMode","Group1",1,14,"network|atom(density|0|)","original_control_or_spending"
"dv.net","GWESP (69)","Numb. edgew. shrd prtns.(69)","gwesp","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",2.1871008001243,69,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,29,"network|atom(gwesp|69|)","evolved_network_term"
"dv.net","degree act+pop","Sum of squared degrees","degPlus","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.0291401963109284,1,"objective",NA,NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,47,"network|atom(degPlus|1|)","evolved_network_term"
"dv.net","nets.ATOP_d","Sum of ties x nets.ATOP_d","X","nets.ATOP_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.876117233295783,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,85,"network|atom(X|0|nets.ATOP_d)","original_control_or_spending"
"dv.net","nets.lndistance_d","Sum of ties x nets.lndistance_d","X","nets.lndistance_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.801502158528246,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,114,"network|atom(X|0|nets.lndistance_d)","original_control_or_spending"
"dv.net","nets.absidealdiff_d","Sum of ties x nets.absidealdiff_d","X","nets.absidealdiff_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.505462236136141,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,143,"network|atom(X|0|nets.absidealdiff_d)","original_control_or_spending"
"dv.net","nets.lntrade_d","Sum of ties x nets.lntrade_d","X","nets.lntrade_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.0330922007603301,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,172,"network|atom(X|0|nets.lntrade_d)","original_control_or_spending"
"dv.net","nets.NATO_d","Sum of ties x nets.NATO_d","X","nets.NATO_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-3.52579217230909,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,201,"network|atom(X|0|nets.NATO_d)","original_control_or_spending"
"dv.net","beh.democracy_1 alter","Sum of degrees x beh.democracy_1","altX","beh.democracy_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",1.31008184345727,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,230,"network|atom(altX|0|beh.democracy_1)","original_control_or_spending"
